,Company Information,,,,,,,Services,,,Quality,,,,Facility,,,,,,,,,,,,,Users,,,,,,,,Upload feature - Documents,
10,Magma Machining Private Limited,"74-75, Block No.3, Barcelona Industrial Estate, Sardar Patel Ring Rd, Odhav, Ahmedabad, Gujarat 382415, India",https://www.magmamachining.com/,9.1793E+11,"ISRO, HAL, Institute For Plasma Research, TIFR, IUCAA, IIA, Toshiba, SIDDHI Group, L&T, IFFCO, Alstom, etc.",NA,NA,"Automotive,Aerospace,Defense,Machinery & Equipments,Consumer Goods,Hardware Startups",CNC Machining,"CNC Machining: Plain Carbon and Low Alloy Steels,CNC Machining: Stainless Steels,CNC Machining: Aluminium Alloys,CNC Machining: Brass,CNC Machining: Mild Steel,CNC Machining: Titanium,CNC Machining: Copper",ISO 9001,Manual,NA,NA,5000 sq ft,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vikas,,vikas@magmamachining.com,7929700277,Rajesh,Vice President - Global Marketing & Sales,marketing@magmamachining.com,9638075212,,
11,Microtech CNC,"Plot No 16-E, Sipcot Phase II Industrial Complex, Sipcot Ph 2, Hosur, Tamil Nadu 635109",https://www.microtechcnc.in/,9.19195E+11,"Daimler, Ford, TE, Hyundai, Boring, Caterpillar, GE, beml, Mitsubishi, Ashok Leyland, BHEL, etc.","India, Brazil & USA",NA,"Aerospace,Defense,Machinery & Equipments,Oil & Gas,Steel,Consumer Goods,Robotics,Hardware Startups,Automotive","CNC Machining,Laser Cutting,Forging,Others","CNC Machining: Plain Carbon and Low Alloy Steels,CNC Machining: Stainless Steels,CNC Machining: Aluminium Alloys,CNC Machining: Brass,CNC Machining: Titanium,CNC Machining: Mild Steel,CNC Machining: Copper,Forging: Plain Carbon and Low Alloy Steels,Forging: Mild Steel,Forging: Carbon Steel","ISO 9001,AS 9100,IATF 16949:2016","CMM,Manual",NA,Yes,NA,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rohini,Marketing Team,acs@microtechcnc.in,7871965234,,,,,,
12,M.N.Industries,"181, MG Ramachandran St, North Phase, MG Ramachandran St, North Phase, Pattara Vakkam, Sidco Industrial Estate, Ambattur, Chennai, Tamil Nadu 600098, India",http://www.mnindustries.in/,9.19192E+11,"RANE, Delphi TVS, Berkel, Chennai Metco, Kocon India, ISRO, etc.",India,NA,"Aerospace,Automotive,Defense,Steel,Machinery & Equipments,Consumer Goods,Oil & Gas,Hardware Startups",CNC Machining,"CNC Machining: Plain Carbon and Low Alloy Steels,CNC Machining: Stainless Steels,CNC Machining: Aluminium Alloys,CNC Machining: Brass,CNC Machining: Mild Steel,CNC Machining: Titanium,CNC Machining: Copper",ISO 9001,Manual,NA,Yes,10000 sq ft,Yes,Yes,Yes,NA,80,8,3,6,NA,NA,NA,NA,Nagaraj,Production Engineer,production.mnindustries@gmail.com,9176876780,,,,,,
13,Panch Dhatu,"No B, 47, 3rd Stage, Maruthi Nagar, Peenya, Bengaluru, Karnataka 560058, India",https://panchdhatu.com/,9.10804E+11,"1. CRAFTSAMAN AUTOMATION PVT LTD,COIMBATORE 2. ACCUSPRIALS.,Bangalore. 3. K.R.R ENGINEERING PVT LTD.chennai. 4. TRIVENI TURBINES LTD.,Bangalore. 5. THE TRIVENI ENGINEERING INDUSTREIS LTD.,Delhi. 6. FOURESS ENGINEERING {INDIA} LTD.,Bangalore. 7. JOHN CRANE SEALING SYSTEM INDIA PVT LTD.,Bangalore. 8. BOVING FOURESS LTD.HOSKOTE 9. KIRLOSKAR ELECTRIC CO.LTD BANGALORE & HUBLI 10. DEVON MACHINES PRIVATE LTD.,CHENNAI. 11. COSTAL RUBBER EQUIPMENT PVT LTD., CHENNAI 12. WEIR MINIERALS INDIA LTD.BANGALORE. 13. ACE MULTI AXES SYSTEMS LTD.BANGALORE. 14. C.M.T.I.BANGALORE. 15. INDIAN INSTITUTE OF ASTROPHYSICS (BANGALORE) 16. ISGES HEAVY ENGINEERING PVT LTD (YAMUNAGAR )",India,NA,"Automotive,Machinery & Equipments,Consumer Goods,Hardware Startups","CNC Machining,Die Casting,Sand Casting","CNC Machining: Plain Carbon and Low Alloy Steels,CNC Machining: Stainless Steels,CNC Machining: Aluminium Alloys,CNC Machining: Mild Steel,Casting: Aluminium,Die Casting: Aluminium,Sand Casting: Aluminium",ISO 9001,Manual,NA,NA,NA,NA,Yes,Yes,20 Tonnes/Month,80,8,Yes,6,NA,NA,NA,NA,Kiran,MD,panchdhatu123@yahoo.co.in,9901292152,,,,,,
14,"QINGDAO HILIEN MACHINERY CO., LTD","Feng Bao Lu, Jimo, Qingdao Shi, Shandong Sheng, China",http://www.hilienmachinery.com/,8.65329E+12,NA,NA,NA,"Automotive,Machinery & Equipments,Consumer Goods,Hardware Startups","CNC Machining,Casting,Forging,Others","CNC Machining: Plain Carbon and Low Alloy Steels,CNC Machining: Stainless Steels,CNC Machining: Aluminium Alloys,CNC Machining: Brass,CNC Machining: Titanium,CNC Machining: Mild Steel,Casting: Aluminium,CNC Machining: Copper,Forging: Mild Steel,Forging: Plain Carbon and Low Alloy Steels,Forging: Carbon Steel",ISO/TS 16949,"CMM,Manual",NA,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kevin,Sales Director,"	kevin@hilienmachinery.com",8.61866E+12,,,,,,
15,Rajan Engineering Works,"No.7, PP Amman Koil St, Abdul Kalam Nagar, Periyar Nagar, Pallavaram, Chennai, Tamil Nadu 600043, India",http://rajanengineers.in/,9.10442E+11,NA,India,NA,"Automotive,Aerospace,Defense,Steel,Machinery & Equipments,Oil & Gas,Consumer Goods,Hardware Startups",CNC Machining,"CNC Machining: Plain Carbon and Low Alloy Steels,CNC Machining: Stainless Steels,CNC Machining: Aluminium Alloys,CNC Machining: Mild Steel",ISO 9001,Manual,NA,Yes,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,RAJASEKAR,Managing Partner,"	rajanenggw@gmail.com",9444278998,,,,,,
16,RajDeep Industries,"RajDeep Industries, Plot No. C-23 3rd Cross. KIADB Industrial Area Machenahalli, Nidige, Post, Shivamogga, Karnataka 577222, India",https://rajdeepindustry.com/,9.18182E+11,"Hubner Interface Systems India Pvt. Ltd (MNC), Shanthala Spherocast Pvt. Ltd., Prragathi Steel Casting Pvt. Ltd, Shree Shiv Sai Cast Pvt. Ltd. ",India,1.2cr,"Automotive,Aerospace,Machinery & Equipments,Consumer Goods",CNC Machining,"CNC Machining: Plain Carbon and Low Alloy Steels,CNC Machining: Stainless Steels,CNC Machining: Aluminium Alloys,CNC Machining: Mild Steel",ISO 9001,Manual,Yes,Yes,2500 sq ft,NA,Yes,Yes,NA,75,7,3,6,NA,12,3,Yes,Pradeep,Production & Quality Control,rajdeepind.rd@gmail.com,9886053288,,,,,,
17,Shreyas Machine Tools,"Shop No. 88, 6th Main, 7th Main Rd, Phase 3, Peenya, Bengaluru, Karnataka 560058, India",NA,9.10803E+11,"1) Dynamatic Technologies Ltd. 2) Flowserve India Controls Pvt. Ltd., 3) Hofmann Engineering Pvt. Ltd. Australia. 4) Parker Hannifin India Pvt Ltd. 5) Ultra Filter India Pvt Ltd 6) Slingco Ltd, England.","India, Australia & England",NA,"Automotive,Machinery & Equipments,Consumer Goods,Hardware Startups",CNC Machining,"CNC Machining: Plain Carbon and Low Alloy Steels,CNC Machining: Stainless Steels,CNC Machining: Aluminium Alloys,CNC Machining: Mild Steel,Casting: Aluminium",ISO 9001,Manual,Yes,Yes,6800 sq ft,Yes,Yes,Yes,20-30,80,8,3,6,NA,NA,NA,NA,Shreyas,,shreyas_cncmachine@yahoo.com,9686491122,,,,,,
18,Sincom Precision,"2/A, Sir Mathuradas Vasanji Rd, Gundavali, Andheri East, Mumbai, Maharashtra 400069, India",http://www.sincomprecision.com/,9.19834E+11,NA,NA,NA,"Automotive,Aerospace,Defense,Machinery & Equipments,Oil & Gas,Consumer Goods,Hardware Startups",CNC Machining,"CNC Machining: Plain Carbon and Low Alloy Steels,CNC Machining: Stainless Steels,CNC Machining: Aluminium Alloys,CNC Machining: Mild Steel",ISO 9001,Manual,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rohan,,rohan.sincomprecision@yahoo.com,9833677127,,,,,,
19,UPR Engineering Pvt Ltd,"Gat No.2131,Mohitewadi, Shelpimpalgaon, Chakan Shikrapur Rd, Talkhed, Pune, Maharashtra 410501, India",http://www.uprengineering.com/,9.1735E+11,"TATA Sikorsky Aerospace ltd,Godrej & Boyce Ltd,Reginson Engineering UK,Incora,Bharat Forge	","India, UK",7 mil INR,"Automotive,Aerospace,Defense,Machinery & Equipments,Consumer Goods,Healthcare",CNC Machining,"CNC Machining: Plain Carbon and Low Alloy Steels,CNC Machining: Stainless Steels,CNC Machining: Aluminium Alloys,CNC Machining: Brass,CNC Machining: Titanium,CNC Machining: Mild Steel","ISO 9001,AS 9100,NADCAP","CMM,Manual","OTD,Rejection Percentage,RFT,Customer Complaint etc.	",Yes,13000 sq ft,Yes,Yes,Yes,10,60,9,2,5,NA,25,5,2,Prashant,Operations Director,prashant.goraksha@uprngineering.com,7350015762,,,,,,
20,SHENZHEN WEIKE RAPID PROTOTYPING TECHNOLOGY CO. LTD.,"China, Guangdong Sheng, Shenzhen Shi, Baoan Qu, 大富路",https://waykenrm.com/,8.61361E+12,NA,30+,"400,0000 USD","Automotive,Aerospace,Defense,Machinery & Equipments,Consumer Goods,Healthcare,Hardware Startups","CNC Machining,Injection Molding,Additive Manufacturing,Others","CNC Machining: Plain Carbon and Low Alloy Steels,CNC Machining: Stainless Steels,CNC Machining: Aluminium Alloys,CNC Machining: Brass,CNC Machining: Titanium,CNC Machining: Mild Steel,Injection Molding: Plastic,CNC Machining: Copper,Additive Manufacturing: SLA,Additive Manufacturing: SLS",ISO 9001,"Manual,CMM","ISO2768	",6S,"8000m²	",Yes,Yes,Yes,300+ Projects,70,8,2,6,NA,40,15,2,Chester,Customer Success Manager,chester@waykenrm.com,8.61302E+12,,,,,,
21,Asiaan Metals & Aluminium Casting Pvt Ltd,"2GGM+R2G, Raja Industrial Estate, Yeswanthpur, Bengaluru, Karnataka 560022, India",https://amacpvt.com/,9.1866E+11,"Bosch, Mahle, Renault, Nissan, Alstom, GE, YVS, Hyundai, etc.",India,NA,"Automotive,Machinery & Equipments,Consumer Goods,Hardware Startups","CNC Machining,Casting","CNC Machining: Aluminium Alloys,Casting: Aluminium",ISO/TS 16949,"CMM,Manual",NA,Yes,NA,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ravi,Marketing Manager,travi@amacpvt.com,9841012177,,,,,,
22,BA Metal Processing,"WXWG+3QP, SIDCO Private Industrial Estate, Kurichi, Tamil Nadu 641021, India",https://bametalprocessing.com/,9.19945E+11,"L&T Valves, CAT, Sulzer, etc.",NA,NA,"Automotive,Defense,Machinery & Equipments,Steel,Consumer Goods,Oil & Gas,Hardware Startups","CNC Machining,Hot Forging,Sand Casting","Forging: Plain Carbon and Low Alloy Steels,Forging: Mild Steel,Forging: Carbon Steel,Casting: Aluminium",ISO 9001,Manual,NA,Yes,NA,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ravi,MD,ravi@bametalprocessing.com,9944792444,,,,,,
23,Bhuwalka Casting & Forging Pvt Ltd,"Plot No : 17,18,19 & 20, Tamka Industrial Area., Tamaka Industrial Area, Kolar, Karnataka 563101, India",http://www.bhuwalka.co.in/,9.10802E+11,"ACE, Kenna Metals, HMT, BFW, etc.","Spain, USA & India",50-60 Cr PA,"Automotive,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Hardware Startups","Casting,CNC Machining",NA,ISO 9001,Manual,"Yes, details to be discussed during project execution.",Yes,NA,Yes,Yes,Yes,1000,500-600 Tons,12,Yes,6,Yes,220,15,15,Ravindra,Customer Success Manager,bcfl@bhuwalka.co.in,9448286440,,,,,,
24,Gujarat Precision Cast Pvt. Ltd.,"Survey, No. 188, Plot No, 3, NH 27, Shapar, Gujarat 360024, India",https://www.gpclgroup.com,9.10283E+11,NA,"USA, Germany, Netherlands, Belgium, UK, France, Spain, Italy, Romania, UAE, Australia, etc. ",56 cr,"Automotive,Defense,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods","Casting,CNC Machining",NA,ISO 9001,Manual,Yes - Details to be discussed during execution.,Yes,52000 sq m,Yes,Yes,Yes,NA,NA,NA,NA,NA,Yes,NA,NA,NA,Mahesh,Marketing Associate,mkt@gpclgroup.com,9727011422,,,,,,
25,Maxwell Auto components Pvt Ltd,"SF.No 397/2A, 398/2B, Jangammanaikenpalayam Chennapachettipudur Post Karumathampatti (via), Sulur, Taluk, Coimbatore, Tamil Nadu 641659, India",https://maxwellcasting.com/,9.1949E+11,"RE, TAFE, Danfoss, Caterpillar, Rane, Mitsubishi, Kawasaki, etc",NA,7 mil $,"Automotive,Defense,Machinery & Equipments,Steel,Oil & Gas,Hardware Startups,Consumer Goods","Casting,CNC Machining",NA,"ISO 9001,IATF 16949:2016","Manual,CMM",Yes - Details to be discussed during execution.,Yes,414000 sq ft,Yes,Yes,Yes,800,650,NA,NA,NA,NA,NA,NA,NA,Makeshvar,Operations Director,makesh@maxwellcasting.com,9677216812,,,marketing@maxwellcasting.com,,,
26,Muras Techno Casts,"Ramanagara, Karnataka 562112, India",https://www.murasgroup.com/,9.19149E+11,NA,India,NA,"Automotive,Machinery & Equipments,Consumer Goods,Hardware Startups",Casting,NA,,Manual,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Manjunatha,MD,murastech@gmail.com,9880215676,,,,,,
27,National Die Casting,"2F2W+M9X, Hegganahalli Cross, Lakshman Nagar, State Bank of India Colony, Bengaluru, Karnataka 560091, India",https://www.nationaldiecasting.in/,9.19902E+11,"UNO MINDA, V3 Technologies, etc",India,NA,"Automotive,Machinery & Equipments,Consumer Goods,Hardware Startups","Die Casting,Gravity Die Casting","Casting: Aluminium,Die Casting: Aluminium,Gravity Die Casting: Aluminium",ISO 9001,Manual,Yes - Details to be discussed during execution.,Yes,NA,NA,Yes,Yes,20,80,12,2,6,NA,8,2,2,Girish,MD,girish@nationaldiecasting.in,7760487999,,,,,,
28,New Cast Die Casting,"3rd phase, No, 120, 7th Main Rd, Peenya Phase 3, Yesvanpur Surburb, Phase 3, Peenya, Bengaluru, Karnataka 560058, India",www.newcast.in,9.10803E+11,"Exports:Xylem , Clear Ambar Group,360 Vision Technology, India:ABB,IFB,Sandar,Athena , Avtec,Adita,Ucal Auto Pvt Ltd","India , Middle East, and Europe				",15 cr,"Automotive,Machinery & Equipments,Consumer Goods,Hardware Startups",Casting,Casting: Aluminium,"ISO 9001,IATF 16949:2016",Manual,Yes - Details to be discussed during execution.,Yes,"50000 Sq. Ft				",NA,Yes,Yes,80,65,8,3,6,NA,50,18,2,Nagendra Rao,MD,newcastdiecasting@yahoo.com,9845107240,,,,,,
29,"PARIKH METACAST PRIVATE LIMITED	","Plot No B, 137, Kagal 5 Star MIDC Industrial Area, Tal - Karvir, Maharashtra 416236, India","www.parikhmet.com	",9.19851E+11,"TATA Steels, Mahindra, L&T, Kirloskar, Godrej, etc.","India, USA, Qatar, Dubai, Japan	",18 cr,"Automotive,Defense,Machinery & Equipments,Oil & Gas,Steel,Consumer Goods,Hardware Startups",Casting,NA,ISO 9001,,Yes - Details to be discussed during execution.,Kaizen and 5s,11800sqmtr,NA,Yes,Yes,300,85,8,3,6,NA,63,10,5,Nirmit,MD,nirmit@parikhmet.com,9850814315,,,,,,
30,SHREYAS META CASTINGS,"3rd, Phase 83, 1, 7th Main Rd, Phase 3, Peenya, Bengaluru, Karnataka 560058, India",http://www.shreyasmetacasting.in/,9.199E+11,"1) Parker Hannifin India Pvt Ltd 2) Heidelberg Prominent Fluid Controls India Pvt. Ltd., 3) Yuken India Ltd, 4) Rotzler Services Pvt.Ltd. 5) Interpump Hydraulics India Pvt Ltd.",India,"3-4 CRORES/ANNUM	","Automotive,Machinery & Equipments,Consumer Goods,Hardware Startups",Casting,Casting: Aluminium,ISO 9001,Manual,NA,Yes,NA,NA,Yes,Yes,20 Tonnes/Month,80,8,3,6,NA,11,5,NA,Shreyas,MD,shreyas_cncmachine@yahoo.com,9686491122,,,,,,
31,SIDDHI CAST PVT. LTD.,"Survey No. 53, At Hadamtala, Opp Vandheshwar Temple, N.H. No.: 27,, Tal. Kotda Sangani, Dist: Rajkot - 360311, Gondal, Gujarat 360311, India",https://www.siddhicast.com/,9.1091E+11,NA,"Canada, Germany,  Italy,  Belgium, France, Turkey,  Denmark, Poland, UK, USA, etc. ",NA,"Automotive,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Hardware Startups","Casting,CNC Machining",NA,ISO 9001,,Yes - Details to be discussed during execution.,Yes,NA,Yes,Yes,Yes,90-100,80,NA,NA,NA,NA,123,33,NA,Vekaria,Sales Executive,info@siddhicast.com,9712987870,,,,,,
32,Sun Castings,"48A-1, Doddaballapura Industrial Area, Yellupura, Doddaballapura, Industrial Estate, Bengaluru, Karnataka 561203, India",www.suncastings.com,9.19886E+11,NA,NA,NA,"Automotive,Machinery & Equipments,Consumer Goods,Hardware Startups,Aerospace","Casting,CNC Machining",Casting: Aluminium,IATF 16949:2016,"Manual,CMM",NA,Yes,NA,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Manjunnath,Partner,sales@suncastings.com,8027630634,,,,,,
33,Unique Shell Mould (India) Private Limited,"89, 9, Unique Shell Mould India Private Limited - Plant I, SIDCO Main, SIDCO Private Industrial Estate, Kurichi, Tamil Nadu 641021, India",http://www.uniqueshell.com/,9.14225E+11,"Yamaha, Honda, TVS, Suzuki, Mahindra, etc","Europe, Middle East, USA, etc.",1050 mil INR,"Automotive,Aerospace,Defense,Machinery & Equipments,Consumer Goods,Hardware Startups","Casting,CNC Machining",Casting: Aluminium,ISO 9001,"Manual,CMM",Yes - Details to be discussed during execution.,Yes,8500 sq m,Yes,Yes,Yes,NA,NA,8,3,6,Yes,NA,NA,NA,Vimal,Marketing Manager,marketing@uniqueshell.com,9344942815,,,,,,
34,Mactech Engineering Unit 3 (Formerly Zircast Ltd),"Mactech Unit 3, #37, 2nd Phase, Jigani Industrial Area, Bannerghatta - Jigani link road, Anekal Taluk, Next to BMTC Depot, Bengaluru, Karnataka 562105, India",http://www.zircast.com/,9.10789E+11,"Buhler, HAL, CAT, Siemens, etc.","India, USA, .etc",NA,"Automotive,Aerospace,Defense,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Hardware Startups","Casting,CNC Machining",NA,ISO 9001,Manual,Yes,Yes,NA,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vishnu,Marketing Rep,"	vishnu@mactechengg.com",7892740223,,,,,,
35,Aditya engimach pvt. Ltd,"Samrat Industrial Area, Rajkot, Gujarat 360002, India",http://www.adityainc.com/,9.12812E+11,NA,NA,5cr,"Automotive,Aerospace,Defense,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Hardware Startups","Casting,Hot Forging","Forging: Plain Carbon and Low Alloy Steels,Forging: Mild Steel,Forging: Carbon Steel",ISO 9001,Manual,NA,Yes,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pandya,Marketing Head,bkpandya@adityainc.com,9510050371,,,,,,
